,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
522,Kisangani,CD,76.46,overcast clouds,0.5167,25.2,Grand Ramela Hotel
523,Hobyo,SO,76.71,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
527,Bartica,GY,80.6,broken clouds,6.4,-58.6167,Relax Inn Hotel
529,Santa Isabel,BR,93.2,clear sky,-23.3156,-46.2214,Chácara Sombra do Altíssimo
530,Cacu,BR,89.74,few clouds,-18.5567,-51.1308,Império Hotel
535,Ambovombe,MG,83.01,clear sky,-25.1667,46.0833,RELAHARA
536,Celestun,MX,75.45,broken clouds,20.8667,-90.4,Posada Lilia
537,Maceio,BR,84.2,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
538,Matipo,BR,82.47,few clouds,-20.2839,-42.3411,República DNA - Matipó MG
541,Yeppoon,AU,75.2,few clouds,-23.1333,150.7333,Villa Mar Colina
542,Puerto Leguizamo,CO,91.67,broken clouds,-0.1934,-74.7819,la casona de juancho
543,Sao Filipe,CV,76.91,overcast clouds,14.8961,-24.4956,Tortuga B&B
555,Port-Gentil,GA,84.2,few clouds,-0.7193,8.7815,Fengshui Residence
560,Mbandaka,CD,75.94,moderate rain,0.0487,18.2603,Guest House Epervier
570,Monrovia,LR,84.2,broken clouds,6.3005,-10.7969,Sunset Inn
583,Illapel,CL,84.31,clear sky,-31.6308,-71.1653,Hotel Londres
587,Papetoai,PF,78.8,broken clouds,-17.4961,-149.8729,Fare Vaihere
588,Beyla,GN,94.03,clear sky,8.6833,-8.6333,DIAN SINKO
589,Tual,ID,83.37,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
590,Anicuns,BR,86.02,overcast clouds,-16.4611,-49.9617,Hotel Florida
600,Touros,BR,87.8,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
602,Bowen,AU,75.2,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
607,Ambon,ID,78.8,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
608,Takoradi,GH,83.17,light rain,4.8845,-1.7554,Raybow International Hotel
610,Congonhas,BR,80.98,scattered clouds,-20.4997,-43.8578,Dinâmica Assessoria Empresarial
612,Mana,GF,80.17,broken clouds,5.6592,-53.7767,LE SAMANA
